Part number,Serial number operation,Machine routing,Sub assy number,Number of sub assy's,Max transport batch size (pieces) ,Setup time (h),Process time (h),Idle time (h),Price per part (€) ,Size (indicative),Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
AU-001-01,10.0,SM,,,20.0,0.0,0.41599979921119845,0.085523607660505,61.71460331422424,Small,,AGR-006-01,,,
,20.0,TM,,,20.0,1.126493885641907,0.12894269349985998,0.111421850244242,,,,AU,automotive,,
,30.0,MM,,,20.0,0.47589854172011603,0.5013370979610822,0.0505336088938152,,,,AI,airplane,,
,40.0,GM,,,20.0,0.0,0.2999848124101848,0.0433441037149536,,,,EN,energy,,
,50.0,CMM,,,20.0,1.5370484240376798,0.13487386208912222,0.0591606000707926,,,,AGR,agriculture,,
,60.0,A,Purch. items,,40.0,0.0,0.5132263616080333,0.134941999254343,,,,006,part number,,
AU-002-01,10.0,SM,,,20.0,1.3400903399286308,0.19205678939122783,0.085523607660505,298.99182601996716,Medium,,01,main assembly,,
,20.0,TM,,,20.0,1.2404850126084865,0.9821710333551325,0.111421850244242,,,,02,sub assembly,,
,30.0,MM,,,20.0,1.4021484442301118,0.8518851471971361,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,0.6016397956161395,1.05,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,1.4306367789004921,0.2,0.0591606000707926,,,,,,,
,60.0,A,AU-032-02,1.0,40.0,0.2,0.7752187096720042,0.134941999254343,,,,Sizes,Product fits approx. in ,Max weight (kg),Raw materials
,,,AU-037-02,2.0,,,,,,,,Small,50x50x50 mm,1,https://www.twentsestaalhandel.nl
EN-003-01,10.0,SM,,,20.0,0.0,0.482700079404386,0.085523607660505,121.75013824168092,Small,,Medium,150x150x150 mm,2.6,https://www.twentsestaalhandel.nl
,20.0,TM,,,20.0,0.03897732072574511,0.8595677043918314,0.111421850244242,,,,Large,250x250x250 mm,12.2,https://www.twentsestaalhandel.nl
,30.0,MM,,,20.0,0.41849678201267904,0.47773308393334424,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,1.9053669301556477,1.2,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,0.1539535411727071,0.2,0.0591606000707926,,,,,,,
,60.0,A,Purch. items,,40.0,0.0,0.11722131599705055,0.134941999254343,,,,,,,
AU-004-01,10.0,SM,,,20.0,1.3787093748153834,0.6882229226606025,0.085523607660505,90.34439470680726,Small,,,,,
,20.0,TM,,,20.0,0.18045000112733622,0.5002884041978214,0.111421850244242,,,,,,,
,30.0,MM,,,20.0,1.84038317049738,0.9391624967975973,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,0.3596990176943955,0.5048088849528533,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,1.4468875174714964,0.128745333192478,0.0591606000707926,,,,,,,
,60.0,A,Purch. items,,40.0,0.1,0.26,0.134941999254343,,,,,,,
AI-005-01,10.0,SM,,,10.0,0.3755853587925999,0.20663760100984363,0.085523607660505,287.42855000351244,Medium,,,,,
,20.0,TM,,,10.0,0.3978672543653887,0.9725970129344687,0.111421850244242,,,,,,,
,30.0,MM,,,10.0,0.901132908787543,0.45045154262905795,0.0505336088938152,,,,,,,
,40.0,GM,,,10.0,1.6924099950854041,1.2,0.0433441037149536,,,,,,,
,50.0,CMM,,,10.0,1.604477667265844,0.33,0.0591606000707926,,,,,,,
,60.0,A,AI-031-02,1.0,20.0,0.4,0.6,0.134941999254343,,,,,,,
,,,AI-052-02,1.0,,,,,,,,,,,
AU-006-01,10.0,SM,,,20.0,0.3,0.3009285839222724,0.085523607660505,98.99637951568916,Small,,,,,
,20.0,TM,,,20.0,0.15844662409822474,0.3758056134400556,0.111421850244242,,,,,,,
,30.0,MM,,,20.0,0.13392081388946475,0.1395517635116107,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,0.7991707862935498,1.05,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,1.007769287472744,0.2,0.0591606000707926,,,,,,,
,60.0,A,Purch. items,,40.0,0.0,0.47056961844120615,0.134941999254343,,,,,,,
EN-007-01,10.0,SM,,,20.0,0.1,0.2048432948112,0.085523607660505,86.11561867642607,Small,,,,,
,20.0,TM,,,20.0,0.6111788153437163,0.09904896409199226,0.111421850244242,,,,,,,
,30.0,MM,,,20.0,1.852089357755046,0.6970520324220479,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,1.3354267395537436,0.95,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,0.8420567611127228,0.32,0.0591606000707926,,,,,,,
,60.0,A,Purch. items,,40.0,0.3,0.5034730570389397,0.134941999254343,,,,,,,
EN-008-01,10.0,SM,,,20.0,0.0,0.59332231387173,0.085523607660505,297.4486600786337,Medium,,,,,
,20.0,TM,,,20.0,0.14415463027171604,0.6740107307454632,0.111421850244242,,,,,,,
,30.0,MM,,,20.0,0.7994991943384024,0.7425829136213746,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,0.5698179152451344,0.9069549685201758,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,1.9102973659931222,0.15,0.0591606000707926,,,,,,,
,60.0,A,EN-040-02,2.0,40.0,0.2386226402557461,0.8451827831154274,0.134941999254343,,,,,,,
AU-009-01,10.0,SM,,,20.0,0.29794003721757134,0.7594246623528254,0.085523607660505,101.70598278591694,Small,,,,,
,20.0,TM,,,20.0,1.1013820130252998,0.23103271645833479,0.111421850244242,,,,,,,
,30.0,MM,,,20.0,0.39259356376501464,0.8555310043963242,0.0505336088938152,,,,,,,
,40.0,GM,,,20.0,0.323749515933599,0.36089700937422453,0.0433441037149536,,,,,,,
,50.0,CMM,,,20.0,0.6006851205808679,0.2,0.0591606000707926,,,,,,,
,60.0,A,Purch. items,,40.0,1.7425663853601288,0.14540112661396098,0.134941999254343,,,,,,,
AU-010-01,10.0,SM,,,20.0,1.0375645603295347,0.22094990592839714,0.085523607660505,112.40947265051366,Small,,,,,
